Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-04-30 00:52:12,2025-04-30 00:52:15,3.14
2025-04-30 00:52:46,2025-04-30 00:52:52,5.45
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-04-30 01:04:38,2025-04-30 01:04:43,4.69
2025-04-30 01:04:47,2025-04-30 01:04:53,5.86
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-04-30 01:16:20,2025-04-30 01:16:27,6.72
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-04-30 01:17:59,2025-04-30 01:18:04,5.36
2025-04-30 01:18:20,2025-04-30 01:18:23,3.53
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-04-30 01:24:18,2025-04-30 01:24:23,4.92
2025-04-30 01:24:26,2025-04-30 01:24:35,9.44
2025-04-30 01:24:45,2025-04-30 01:24:48,3.42
2025-04-30 01:24:50,2025-04-30 01:24:56,6.35
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-04-30 01:26:00,2025-04-30 01:26:05,4.58
2025-04-30 01:26:14,2025-04-30 01:26:26,12.57
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-04-30 01:27:02,2025-04-30 01:27:07,4.76
2025-04-30 01:27:13,2025-04-30 01:27:25,11.76
2025-04-30 01:27:42,2025-04-30 01:27:46,4.82
2025-04-30 01:27:51,2025-04-30 01:27:58,6.42
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-04-30 01:37:00,2025-04-30 01:37:06,5.82
2025-04-30 01:37:06,2025-04-30 01:37:13,6.75
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-04-30 01:38:14,2025-04-30 01:38:18,3.43
2025-04-30 01:38:26,2025-04-30 01:38:33,6.44
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-04-30 01:48:57,2025-04-30 01:49:03,5.2
2025-04-30 01:49:03,2025-04-30 01:49:12,8.95
2025-04-30 01:49:17,2025-04-30 01:49:21,4.06
2025-04-30 01:49:29,2025-04-30 01:49:35,6.48
2025-04-30 01:49:37,2025-04-30 01:49:41,3.95
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-05-04 18:53:03,2025-05-04 18:53:07,4.63
2025-05-04 18:53:10,2025-05-04 18:53:16,6.05
2025-05-04 18:53:20,2025-05-04 18:53:28,8.37
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-05-04 18:56:51,2025-05-04 18:56:55,4.32
2025-05-04 18:56:59,2025-05-04 18:57:05,6.74
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-05-04 18:57:42,2025-05-04 18:57:47,4.84
2025-05-04 18:57:54,2025-05-04 18:58:01,6.53
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-05-04 19:01:13,2025-05-04 19:01:18,5.35
2025-05-04 19:01:19,2025-05-04 19:01:28,9.01
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-05-04 19:02:02,2025-05-04 19:02:08,5.93
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-05-04 19:02:33,2025-05-04 19:02:38,5.41
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-05-04 19:13:18,2025-05-04 19:13:25,6.46
2025-05-04 19:13:27,2025-05-04 19:13:33,6.12
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-05-04 19:37:43,2025-05-04 19:37:50,6.98
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-05-04 19:47:30,2025-05-04 19:47:35,5.43
2025-05-04 19:47:40,2025-05-04 19:47:50,9.81
2025-05-04 19:47:56,2025-05-04 19:48:07,11.79
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-05-06 00:45:15,2025-05-06 00:45:22,6.44
2025-05-06 00:45:23,2025-05-06 00:45:26,3.32
2025-05-06 00:45:40,2025-05-06 00:45:43,3.0
2025-05-06 00:45:46,2025-05-06 00:45:49,3.68
2025-05-06 00:45:52,2025-05-06 00:45:57,4.64
2025-05-06 00:45:58,2025-05-06 00:46:03,5.5
2025-05-06 00:46:09,2025-05-06 00:46:19,9.52
2025-05-06 00:46:21,2025-05-06 00:46:25,3.81
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-05-06 00:47:24,2025-05-06 00:47:37,12.63
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-05-06 00:48:30,2025-05-06 00:48:33,3.03
2025-05-06 00:48:33,2025-05-06 00:48:41,7.97
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-05-06 00:49:52,2025-05-06 00:49:56,3.82
2025-05-06 00:49:56,2025-05-06 00:50:02,5.98
2025-05-06 00:50:04,2025-05-06 00:50:09,4.27
2025-05-06 00:50:15,2025-05-06 00:50:19,4.16
2025-05-06 00:50:27,2025-05-06 00:50:38,10.84
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-05-12 23:59:33,2025-05-12 23:59:37,3.26
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-05-13 00:01:04,2025-05-13 00:01:08,3.15
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-05-13 00:29:28,2025-05-13 00:29:40,11.33
2025-05-13 00:29:42,2025-05-13 00:30:02,19.94
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
2025-05-13 00:36:11,2025-05-13 00:36:15,4.49
Sleep Start Time,Sleep End Time,Sleep Duration (seconds)
